rating,review_count,name,categories/0/0,location/display_address/0,location/coordinate/latitude,location/coordinate/longitude
4,142,Tavola,Italian,826 Hinton Ave,38.02441788,-78.47546387
4,156,Bella's Restaurant,Italian,707 W Main St,38.031901,-78.48998
4.5,127,Lampo,Italian,205 Monticello Rd,38.0273895,-78.4768372
3.5,59,Fellini's,Italian,200 W Market St,38.03166,-78.48206
4,51,Carmello's,Italian,400 Shopper's World Ct,38.0777464,-78.4791728
4,20,Mona Lisa Pasta,Italian,921 Preston Ave,38.0384868,-78.4901622
3.5,175,Travinia Italian Kitchen & Wine Bar,Italian,2075 Bond St,38.06543833,-78.49211324
3,36,Vivace,Italian,2244 Ivy Rd,38.04498,-78.5177099
3.5,47,The Villa,Italian,129 Emmet St N,38.0404468,-78.5064603
3.5,23,Vita Nova Pizza & Pasta Bar,Italian,310 East Main Street,38.0298,-78.47976
3,57,Sal's Caffe Italia,Italian,221 E Main St,38.0306,-78.48011
3.5,54,Red Pump Kitchen,Italian,401 E Main St,38.030515,-78.479165
3,107,Fry's Spring Station,Italian,2115 Jefferson Park Ave,38.02594992,-78.51414388
4,36,Vinny's Italian Grill & Pizzeria,Italian,Hollymeade Town Center,38.126786,-78.4442588
4,58,Threepenny Cafe,Italian,420 W Main St,38.03056,-78.48757
4,18,Vocelli Pizza,Italian,1857 Seminole Trl,38.0869751,-78.4705505
4,21,Anna's Ristorante & Pizzeria,Italian,115 Maury Ave,38.0266499,-78.5157
4.5,116,Feast,Italian,416 W Main St,38.03046,-78.48726
3,13,The Brick Oven,Italian,1966 Rio Hill Ctr,38.0881048,-78.4716025
4.5,89,The Ivy Inn,American (New),2244 Old Ivy Rd,38.04607,-78.51644
4,118,Burtons Grill & Bar of Charlottesville,American (New),2010 Bond St,38.06333128,-78.49111319
4,133,Brookville,American (New),225 W Main St,38.0312489,-78.48262192
3.5,262,The Local,American (New),824 Hinton Ave,38.02446,-78.47555
4.5,92,Oakhart Social,American (New),511 W Main St,38.0311775,-78.4880905
4,137,Zocalo,American (New),201 E Main St,38.031158,-78.480409
3.5,149,Commonwealth Restaurant & Skybar,American (New),422 E Main St,38.0297,-78.47866
4,137,C & O Restaurant,American (New),515 E Water St,38.02902603,-78.47817993
3.5,80,The Virginian Restaurant,American (New),1521 University Ave,38.03518722,-78.5006286
